,height,hem,hip,outer_leg,waist,thigh
1,160.2,34.25,46.1,49.25,35.9,25.0
2,164.2,34.75,44.7,52.1,35.55,26.5
3,158.9,31.95,46.4,49.1,36.85,28.45
4,153.1,32.1,45.45,46.75,40.8,29.6
5,153.8,31.9,45.65,47.0,38.5,26.0
6,163.2,31.7,42.5,49.55,35.4,24.1
7,165.1,31.3,46.15,50.95,39.95,26.65
9,153.2,32.45,46.0,46.5,40.4,27.0
10,158.4,33.25,50.0,48.5,43.15,28.75
11,158.1,30.25,41.6,48.05,32.7,23.9
12,156.5,32.1,47.7,48.6,42.1,28.1
13,167.2,38.45,51.8,51.6,44.6,31.1
14,157.8,34.95,44.15,49.0,34.9,26.9
15,156.1,30.65,43.45,48.6,34.0,26.3
16,163.1,32.4,43.7,51.7,32.05,25.75
17,161.2,34.4,47.7,50.0,39.55,28.9
18,161.7,37.75,51.95,53.8,42.4,33.25
20,162.8,34.25,46.25,50.7,38.6,28.6
21,159.6,33.55,48.4,50.2,37.45,29.85
22,163.9,32.85,46.4,51.2,33.55,27.05
23,169.0,36.55,49.9,51.7,41.8,29.05
24,153.0,30.15,43.25,46.75,31.6,25.8
25,170.9,33.9,46.0,53.4,38.35,26.7
26,159.1,33.9,49.65,49.6,37.25,29.75
27,168.5,37.8,51.05,52.85,40.9,30.95
28,161.7,35.7,49.15,50.3,40.7,28.4
29,169.9,33.4,44.65,54.0,31.6,27.05
30,157.6,32.9,43.95,48.15,33.85,24.4
32,158.6,32.3,46.0,48.4,40.6,27.35
33,162.2,33.75,47.75,50.2,35.55,29.55
34,156.5,31.25,41.35,47.8,32.45,23.25
35,159.1,33.2,45.15,49.65,37.1,25.85
36,164.8,33.6,44.6,51.05,32.0,26.85
37,165.7,35.85,46.5,52.4,35.8,27.25
38,166.0,33.2,47.5,51.7,34.0,29.75
39,160.6,33.85,45.9,50.0,34.6,26.7
40,154.0,32.0,45.75,48.1,35.15,27.45
41,155.5,34.15,44.5,48.75,33.6,26.05
42,169.3,36.2,50.4,52.85,37.45,29.3
43,163.8,35.65,50.65,51.2,40.4,30.0
44,160.8,32.4,47.0,49.35,32.9,27.8
45,162.5,33.0,46.0,50.7,33.5,26.35
46,153.5,31.0,44.25,46.85,31.0,26.8
47,161.0,31.85,45.4,51.45,34.45,26.9
48,160.5,32.65,44.15,51.6,32.0,27.05
49,154.6,30.5,45.75,49.0,33.9,26.65
50,156.4,31.75,43.0,48.35,33.0,24.9
51,158.5,31.4,42.75,49.9,35.05,25.25
52,160.0,35.0,50.65,50.1,38.05,31.5
53,154.0,34.7,49.9,47.8,44.15,31.25
55,162.7,33.65,43.25,51.4,36.75,23.6
56,159.2,33.15,44.4,50.35,33.4,25.6
57,165.9,36.15,48.25,52.05,37.3,27.2
58,153.6,32.0,43.95,46.8,34.2,25.1
59,162.1,35.0,45.85,51.25,36.6,27.75
60,161.1,32.4,44.2,50.4,35.75,24.9
61,160.0,32.5,47.5,49.6,36.8,29.35
62,159.9,31.3,43.75,49.55,31.45,24.35
63,163.7,29.7,41.3,50.35,31.6,23.85
64,158.6,34.7,47.6,50.3,36.45,28.65
65,152.1,30.95,43.25,45.9,35.05,25.35
66,160.3,34.95,48.4,49.0,40.25,30.3
67,170.2,37.5,51.0,54.25,41.2,30.2
69,164.0,35.65,52.75,52.7,43.65,30.75
70,166.6,32.5,44.5,51.9,33.05,25.9
