,밑위,엉덩이단면,총장,허리단면,허벅지단면,classification,cluster_size
0,27.0,48.0,103.0,35.0,30.8,3,M
1,27.0,49.25,103.0,36.3,31.4,0,L
2,27.5,50.5,104.0,37.5,32.0,0,L
3,27.5,51.75,104.0,38.8,32.6,0,L
4,28.0,53.0,105.0,40.0,33.3,0,L
5,28.0,54.25,105.0,41.3,33.9,0,L
6,28.5,55.5,105.0,42.5,34.5,0,L
7,29.0,56.75,105.0,43.8,35.1,2,XL
8,29.5,58.0,106.0,45.0,35.8,2,XL
9,30.5,60.5,106.0,47.5,37.0,2,XL
10,31.5,63.0,107.0,50.0,38.3,2,XL
11,32.5,65.5,107.0,52.5,39.5,2,XL
12,33.5,68.0,108.0,55.0,40.8,2,XL
13,30.0,53.0,99.5,33.5,33.0,0,L
14,31.0,55.0,101.0,36.0,34.0,0,L
15,32.0,57.0,102.5,38.5,35.0,0,L
16,33.0,59.0,104.0,41.0,36.0,0,L
17,34.0,61.0,105.5,43.5,37.0,2,XL
18,35.0,63.0,107.0,46.0,38.0,2,XL
19,23.5,43.0,97.0,35.0,27.3,1,XS
20,24.0,44.25,98.0,36.3,27.8,3,M
21,24.5,45.5,98.0,37.5,28.5,3,M
22,25.0,46.75,99.0,38.7,29.1,3,M
23,25.5,48.0,99.0,40.0,29.7,0,L
24,26.0,49.25,100.0,41.2,30.4,0,L
25,26.5,50.5,100.0,42.5,31.0,0,L
26,27.0,51.75,101.0,43.8,31.6,2,XL
27,27.5,53.0,101.0,45.0,32.2,2,XL
28,28.5,55.5,102.0,47.5,33.5,2,XL
29,29.5,58.0,102.0,50.0,34.8,2,XL
30,23.5,43.0,97.0,35.0,27.3,1,XS
31,24.0,44.25,98.0,36.3,27.8,3,M
32,24.5,45.5,98.0,37.5,28.5,3,M
33,25.0,46.75,99.0,38.7,29.1,3,M
34,25.5,48.0,99.0,40.0,29.7,0,L
35,26.0,49.25,100.0,41.2,30.4,0,L
36,26.5,50.5,100.0,42.5,31.0,0,L
37,27.0,51.75,101.0,43.8,31.6,2,XL
38,27.5,53.0,101.0,45.0,32.2,2,XL
39,28.5,55.5,102.0,47.5,33.5,2,XL
40,29.5,58.0,102.0,50.0,34.8,2,XL
41,23.5,43.0,97.0,35.0,27.3,1,XS
42,24.0,44.25,98.0,36.3,27.8,3,M
43,24.5,45.5,98.0,37.5,28.5,3,M
44,25.0,46.75,99.0,38.7,29.1,3,M
45,25.5,48.0,99.0,40.0,29.7,0,L
46,26.0,49.25,100.0,41.2,30.4,0,L
47,26.5,50.5,100.0,42.5,31.0,0,L
48,27.0,51.75,101.0,43.8,31.6,2,XL
49,27.5,53.0,101.0,45.0,32.2,2,XL
50,28.5,55.5,102.0,47.5,33.5,2,XL
51,29.5,58.0,102.0,50.0,34.8,2,XL
52,33.0,54.0,96.0,37.0,35.0,0,L
53,33.5,56.0,98.0,39.0,36.0,0,L
54,34.0,58.0,100.0,41.0,37.0,0,L
55,34.5,60.0,102.0,43.0,38.0,2,XL
56,27.0,48.0,103.0,35.0,30.8,3,M
57,27.0,49.25,103.0,36.3,31.4,0,L
58,27.5,50.5,104.0,37.5,32.0,0,L
59,27.5,51.75,104.0,38.8,32.6,0,L
60,28.0,53.0,105.0,40.0,33.3,0,L
61,28.0,54.25,105.0,41.3,33.9,0,L
62,28.5,55.5,105.0,42.5,34.5,0,L
63,29.0,56.75,105.0,43.8,35.1,2,XL
64,29.5,58.0,106.0,45.0,35.8,2,XL
65,30.5,60.5,106.0,47.5,37.0,2,XL
66,31.5,63.0,107.0,50.0,38.3,2,XL
67,32.5,65.5,107.0,52.5,39.5,2,XL
68,33.5,68.0,108.0,55.0,40.8,2,XL
69,27.0,48.0,103.0,35.0,30.8,3,M
70,27.0,49.25,103.0,36.3,31.4,0,L
71,27.5,50.5,104.0,37.5,32.0,0,L
72,27.5,51.75,104.0,38.8,32.6,0,L
73,28.0,53.0,105.0,40.0,33.3,0,L
74,28.0,54.25,105.0,41.3,33.9,0,L
75,28.5,55.5,105.0,42.5,34.5,0,L
76,29.0,56.75,105.0,43.8,35.1,2,XL
77,29.5,58.0,106.0,45.0,35.8,2,XL
78,30.5,60.5,106.0,47.5,37.0,2,XL
79,31.5,63.0,107.0,50.0,38.3,2,XL
80,32.5,65.5,107.0,52.5,39.5,2,XL
81,33.5,68.0,108.0,55.0,40.8,2,XL
82,30.0,53.0,99.5,33.5,33.0,0,L
83,31.0,55.0,101.0,36.0,34.0,0,L
84,32.0,57.0,102.5,38.5,35.0,0,L
85,33.0,59.0,104.0,41.0,36.0,0,L
86,34.0,61.0,105.5,43.5,37.0,2,XL
87,35.0,63.0,107.0,46.0,38.0,2,XL
88,30.0,53.0,99.5,33.5,33.0,0,L
89,31.0,55.0,101.0,36.0,34.0,0,L
90,32.0,57.0,102.5,38.5,35.0,0,L
91,33.0,59.0,104.0,41.0,36.0,0,L
92,34.0,61.0,105.5,43.5,37.0,2,XL
93,35.0,63.0,107.0,46.0,38.0,2,XL
94,33.0,57.0,105.0,38.0,32.5,0,L
95,34.0,59.5,107.0,40.0,34.0,0,L
96,35.0,62.0,109.0,42.0,35.5,0,L
97,33.5,54.0,105.0,35.0,33.0,0,L
98,34.5,56.0,106.5,37.0,34.0,0,L
99,35.5,58.0,108.0,39.0,35.0,0,L
100,31.5,47.0,105.0,37.0,31.5,3,M
101,32.0,48.0,106.0,38.0,32.0,0,L
102,32.5,49.0,107.0,39.0,32.5,0,L
103,33.0,50.0,108.0,40.0,33.0,0,L
104,33.5,51.0,109.0,41.0,33.5,0,L
105,34.0,52.0,110.0,42.0,34.0,0,L
106,34.5,53.0,111.0,43.0,34.5,2,XL
107,22.0,43.5,92.0,35.0,27.3,1,XS
108,22.5,45.0,93.0,36.3,27.9,3,M
109,23.0,46.0,93.0,37.5,28.5,3,M
110,23.5,47.5,93.0,38.8,29.1,0,L
111,24.0,48.5,94.0,40.0,29.8,0,L
112,24.5,50.0,94.0,41.3,30.4,0,L
113,25.0,51.0,94.0,42.5,31.0,0,L
114,25.5,52.5,94.0,43.8,31.6,2,XL
115,26.0,53.5,94.0,45.0,32.3,2,XL
116,27.0,56.0,95.0,47.5,33.5,2,XL
117,28.0,58.5,96.0,50.0,34.8,2,XL
118,29.0,61.0,96.0,52.5,36.0,2,XL
119,30.0,63.5,97.0,55.0,37.3,2,XL
120,26.5,44.5,99.0,35.0,27.8,1,XS
121,26.5,45.75,99.0,36.3,28.3,3,M
122,27.0,47.0,100.0,37.5,29.0,3,M
123,27.0,48.25,100.0,38.8,29.6,0,L
124,27.5,49.5,101.0,40.0,30.3,0,L
125,27.5,50.75,101.0,41.3,30.8,0,L
126,28.0,52.0,101.0,42.5,31.5,0,L
127,28.5,53.25,101.0,43.8,32.1,2,XL
128,29.0,54.5,102.0,45.0,32.8,2,XL
129,29.5,57.0,102.0,47.5,34.0,2,XL
130,31.0,59.5,103.0,50.0,35.3,2,XL
131,32.0,62.0,103.0,52.5,36.5,2,XL
132,33.0,64.5,104.0,55.0,37.8,2,XL
133,30.0,53.0,99.5,33.5,33.0,0,L
134,31.0,55.0,101.0,36.0,34.0,0,L
135,32.0,57.0,102.5,38.5,35.0,0,L
136,33.0,59.0,104.0,41.0,36.0,0,L
137,34.0,61.0,105.5,43.5,37.0,2,XL
138,35.0,63.0,107.0,46.0,38.0,2,XL
139,27.0,50.5,103.0,33.0,31.5,0,L
140,28.0,53.0,105.0,35.0,33.0,0,L
141,33.0,57.0,105.0,38.0,32.5,0,L
142,34.0,59.5,107.0,40.0,34.0,0,L
143,35.0,62.0,109.0,42.0,35.5,0,L
144,33.5,54.0,105.0,35.0,33.0,0,L
145,34.5,56.0,106.5,37.0,34.0,0,L
146,35.5,58.0,108.0,39.0,35.0,0,L
147,32.0,53.0,103.0,35.0,34.5,0,L
148,33.0,55.5,104.0,37.5,35.75,0,L
149,34.0,58.0,105.0,40.0,37.0,0,L
150,35.0,60.5,106.0,42.5,38.25,0,L
151,36.0,63.0,107.0,45.0,39.5,2,XL
152,29.0,52.5,96.0,33.0,17.75,1,XS
153,32.0,60.0,102.0,40.5,19.25,0,L
154,27.0,48.0,103.0,35.0,30.8,3,M
155,27.0,49.25,103.0,36.3,31.4,0,L
156,27.5,50.5,104.0,37.5,32.0,0,L
157,27.5,51.75,104.0,38.8,32.6,0,L
158,28.0,53.0,105.0,40.0,33.3,0,L
159,28.0,54.25,105.0,41.3,33.9,0,L
160,28.5,55.5,105.0,42.5,34.5,0,L
161,29.0,56.75,105.0,43.8,35.1,2,XL
162,29.5,58.0,106.0,45.0,35.8,2,XL
163,30.5,60.5,106.0,47.5,37.0,2,XL
164,31.5,63.0,107.0,50.0,38.3,2,XL
165,32.5,65.5,107.0,52.5,39.5,2,XL
166,33.5,68.0,108.0,55.0,40.8,2,XL
167,34.0,52.0,104.0,32.5,33.0,0,L
168,34.5,55.5,105.0,35.0,34.3,0,L
169,35.0,58.0,106.0,37.5,35.6,0,L
170,35.5,60.5,107.0,40.0,36.9,0,L
171,27.0,48.0,103.0,35.0,30.8,3,M
172,27.0,49.25,103.0,36.3,31.4,0,L
173,27.5,50.5,104.0,37.5,32.0,0,L
174,27.5,51.75,104.0,38.8,32.6,0,L
175,28.0,53.0,105.0,40.0,33.3,0,L
176,28.0,54.25,105.0,41.3,33.9,0,L
177,28.5,55.5,105.0,42.5,34.5,0,L
178,29.0,56.75,105.0,43.8,35.1,2,XL
179,29.5,58.0,106.0,45.0,35.8,2,XL
180,30.5,60.5,106.0,47.5,37.0,2,XL
181,31.5,63.0,107.0,50.0,38.3,2,XL
182,32.5,65.5,107.0,52.5,39.5,2,XL
183,33.5,68.0,108.0,55.0,40.8,2,XL
184,30.0,53.0,99.5,33.5,33.0,0,L
185,31.0,55.0,101.0,36.0,34.0,0,L
186,32.0,57.0,102.5,38.5,35.0,0,L
187,33.0,59.0,104.0,41.0,36.0,0,L
188,34.0,61.0,105.5,43.5,37.0,2,XL
189,35.0,63.0,107.0,46.0,38.0,2,XL
190,23.5,43.0,97.0,35.0,27.3,1,XS
191,24.0,44.25,98.0,36.3,27.8,3,M
192,24.5,45.5,98.0,37.5,28.5,3,M
193,25.0,46.75,99.0,38.7,29.1,3,M
194,25.5,48.0,99.0,40.0,29.7,0,L
195,26.0,49.25,100.0,41.2,30.4,0,L
196,26.5,50.5,100.0,42.5,31.0,0,L
197,27.0,51.75,101.0,43.8,31.6,2,XL
198,27.5,53.0,101.0,45.0,32.2,2,XL
199,28.5,55.5,102.0,47.5,33.5,2,XL
200,29.5,58.0,102.0,50.0,34.8,2,XL
201,23.5,43.0,97.0,35.0,27.3,1,XS
202,24.0,44.25,98.0,36.3,27.8,3,M
203,24.5,45.5,98.0,37.5,28.5,3,M
204,25.0,46.75,99.0,38.7,29.1,3,M
205,25.5,48.0,99.0,40.0,29.7,0,L
206,26.0,49.25,100.0,41.2,30.4,0,L
207,26.5,50.5,100.0,42.5,31.0,0,L
208,27.0,51.75,101.0,43.8,31.6,2,XL
209,27.5,53.0,101.0,45.0,32.2,2,XL
210,28.5,55.5,102.0,47.5,33.5,2,XL
211,29.5,58.0,102.0,50.0,34.8,2,XL
212,23.5,43.0,97.0,35.0,27.3,1,XS
213,24.0,44.25,98.0,36.3,27.8,3,M
214,24.5,45.5,98.0,37.5,28.5,3,M
215,25.0,46.75,99.0,38.7,29.1,3,M
216,25.5,48.0,99.0,40.0,29.7,0,L
217,26.0,49.25,100.0,41.2,30.4,0,L
218,26.5,50.5,100.0,42.5,31.0,0,L
219,27.0,51.75,101.0,43.8,31.6,2,XL
220,27.5,53.0,101.0,45.0,32.2,2,XL
221,28.5,55.5,102.0,47.5,33.5,2,XL
222,29.5,58.0,102.0,50.0,34.8,2,XL
223,33.0,54.0,96.0,37.0,35.0,0,L
224,33.5,56.0,98.0,39.0,36.0,0,L
225,34.0,58.0,100.0,41.0,37.0,0,L
226,34.5,60.0,102.0,43.0,38.0,2,XL
227,29.0,50.0,104.0,37.0,31.5,0,L
228,30.0,52.0,105.0,39.0,33.0,0,L
229,31.0,54.0,106.0,41.0,34.5,0,L
230,32.0,56.0,107.0,43.0,36.0,0,L
231,28.0,52.0,103.0,35.5,33.0,0,L
232,28.5,53.25,104.0,36.75,33.625,0,L
233,29.0,54.5,104.0,38.0,34.25,0,L
234,29.5,55.75,105.0,39.25,34.875,0,L
235,30.0,57.0,105.0,40.5,35.5,0,L
236,30.5,58.25,106.0,41.75,36.125,0,L
237,31.0,59.5,106.0,43.0,36.75,0,L
238,31.5,60.75,107.0,44.25,37.375,2,XL
239,32.0,62.0,107.0,45.5,38.0,2,XL
240,33.0,64.5,108.0,48.0,39.25,2,XL
241,34.0,67.0,108.0,50.5,40.5,2,XL
242,27.0,43.75,99.0,33.0,28.75,1,XS
243,27.5,45.0,99.0,34.25,29.38,3,M
244,28.0,46.25,100.0,35.5,30.0,3,M
245,28.5,47.5,100.0,36.75,30.63,3,M
246,29.0,48.75,100.0,38.0,31.25,0,L
247,29.5,50.0,101.0,39.25,31.88,0,L
248,30.0,51.25,101.0,40.5,32.5,0,L
249,32.0,50.0,100.0,32.0,32.0,0,L
250,33.0,52.0,101.0,34.0,33.0,0,L
251,34.0,54.0,103.0,36.0,34.0,0,L
252,35.0,56.0,105.0,38.0,35.0,0,L
253,36.0,58.0,106.0,40.0,36.0,0,L
254,29.0,47.75,108.0,37.5,29.05,3,M
255,29.5,49.0,108.5,38.75,29.7,0,L
256,30.0,50.25,109.0,40.0,30.35,0,L
257,30.5,515.0,109.5,41.25,31.0,0,L
258,31.0,52.75,112.5,42.5,31.65,0,L
259,31.5,54.0,113.0,43.75,32.3,2,XL
260,32.0,55.25,113.5,45.0,32.95,2,XL
261,33.0,57.75,114.5,47.5,34.25,2,XL
262,33.0,57.0,105.0,38.0,32.5,0,L
263,34.0,59.5,107.0,40.0,34.0,0,L
264,35.0,62.0,109.0,42.0,35.5,0,L
265,33.5,54.0,105.0,35.0,33.0,0,L
266,34.5,56.0,106.5,37.0,34.0,0,L
267,35.5,58.0,108.0,39.0,35.0,0,L
268,30.0,52.0,94.5,33.0,31.5,0,L
269,30.5,54.5,95.0,35.0,32.8,0,L
270,31.0,57.0,95.5,37.0,34.1,0,L
271,31.5,59.5,96.0,39.0,35.4,0,L
272,30.0,49.5,88.0,33.0,26.0,1,XS
273,31.5,51.5,91.0,35.0,26.5,3,M
274,33.0,53.5,94.0,37.0,27.0,3,M
275,34.5,55.5,97.0,39.0,27.5,0,L
276,36.0,57.5,100.0,41.0,28.0,0,L
277,37.5,59.5,103.0,43.0,28.5,0,L
278,23.5,40.0,93.0,29.0,28.5,1,XS
279,25.0,45.0,95.0,30.5,29.5,1,XS
280,26.5,50.0,97.0,32.0,31.0,0,L
281,28.0,55.0,99.0,33.5,32.0,0,L
282,30.0,53.0,99.5,33.5,33.0,0,L
283,31.0,55.0,101.0,36.0,34.0,0,L
284,32.0,57.0,102.5,38.5,35.0,0,L
285,33.0,59.0,104.0,41.0,36.0,0,L
286,34.0,61.0,105.5,43.5,37.0,2,XL
287,35.0,63.0,107.0,46.0,38.0,2,XL
288,30.0,53.5,101.0,31.5,33.0,0,L
289,31.0,56.0,102.0,34.0,34.5,0,L
290,32.0,58.5,103.0,36.5,36.0,0,L
291,25.8,45.0,100.0,30.0,29.5,1,XS
292,26.8,47.5,101.0,32.5,30.8,3,M
293,27.8,50.0,102.0,35.0,32.0,0,L
294,28.8,52.5,103.0,37.5,33.3,0,L
295,29.8,55.0,104.0,40.0,34.5,0,L
296,30.8,57.5,105.0,42.5,35.8,0,L
297,25.0,45.0,97.0,35.0,28.75,3,M
298,25.5,46.25,98.0,36.25,29.375,3,M
299,26.0,47.5,98.0,37.5,30.0,3,M
300,26.5,48.75,99.0,38.75,30.625,0,L
301,27.0,50.0,99.0,40.0,31.25,0,L
302,27.5,51.25,100.0,41.25,31.875,0,L
303,28.0,52.5,100.0,42.5,32.5,0,L
304,28.5,53.75,101.0,43.75,33.125,2,XL
305,29.0,55.0,101.0,45.0,33.75,2,XL
306,30.0,57.5,102.0,47.5,35.0,2,XL
307,31.0,60.0,102.0,50.0,36.25,2,XL
308,27.0,51.0,96.0,33.0,28.0,0,L
309,28.0,52.0,97.0,34.0,29.0,0,L
310,29.5,54.0,98.0,35.0,30.0,0,L
311,31.0,56.0,99.0,36.0,31.0,0,L
312,28.5,47.75,93.5,37.0,28.1,3,M
313,29.0,48.75,94.0,39.0,28.7,0,L
314,29.5,50.0,97.0,39.75,29.35,0,L
315,30.0,51.25,97.5,41.0,30.0,0,L
316,30.5,52.5,98.0,42.25,30.65,0,L
317,31.0,53.75,101.0,43.5,31.3,2,XL
318,31.5,55.0,101.5,44.75,31.95,2,XL
319,32.5,57.5,102.5,47.25,33.25,2,XL
320,31.5,47.0,105.0,37.0,31.5,3,M
321,32.0,48.0,106.0,38.0,32.0,0,L
322,32.5,49.0,107.0,39.0,32.5,0,L
323,33.0,50.0,108.0,40.0,33.0,0,L
324,33.5,51.0,109.0,41.0,33.5,0,L
325,34.0,52.0,110.0,42.0,34.0,0,L
326,34.5,53.0,111.0,43.0,34.5,2,XL
327,29.2,57.5,103.0,35.0,35.3,0,L
328,29.2,58.8,103.0,36.3,35.9,0,L
329,29.7,60.0,104.0,37.5,36.5,0,L
330,29.7,61.3,104.0,38.8,37.1,0,L
331,30.2,62.5,105.0,40.0,37.8,0,L
332,30.2,63.8,105.0,41.3,38.4,0,L
333,30.7,65.0,105.0,42.5,39.0,0,L
334,31.2,66.3,105.0,43.8,39.6,2,XL
335,31.7,67.5,106.0,45.0,40.3,2,XL
336,32.7,70.0,106.0,47.5,41.5,2,XL
337,33.7,72.5,107.0,50.0,42.8,2,XL
338,34.7,75.0,107.0,52.5,44.0,2,XL
339,35.7,77.5,108.0,55.0,45.3,2,XL
340,25.0,45.0,97.0,35.0,28.75,3,M
341,25.5,46.25,98.0,36.25,29.375,3,M
342,26.0,47.5,98.0,37.5,30.0,3,M
343,26.5,48.75,99.0,38.75,30.625,0,L
344,27.0,50.0,99.0,40.0,31.25,0,L
345,27.5,51.25,100.0,41.25,31.875,0,L
346,28.0,52.5,100.0,42.5,32.5,0,L
347,28.5,53.75,101.0,43.75,33.125,2,XL
348,29.0,55.0,101.0,45.0,33.75,2,XL
349,30.0,57.5,102.0,47.5,35.0,2,XL
350,31.0,60.0,102.0,50.0,36.25,2,XL
351,27.0,48.0,103.0,35.0,30.8,3,M
352,27.0,49.25,103.0,36.3,31.4,0,L
353,27.5,50.5,104.0,37.5,32.0,0,L
354,27.5,51.75,104.0,38.8,32.6,0,L
355,28.0,53.0,105.0,40.0,33.3,0,L
356,28.0,54.25,105.0,41.3,33.9,0,L
357,28.5,55.5,105.0,42.5,34.5,0,L
358,29.0,56.75,105.0,43.8,35.1,2,XL
359,29.5,58.0,106.0,45.0,35.8,2,XL
360,30.5,60.5,106.0,47.5,37.0,2,XL
361,31.5,63.0,107.0,50.0,38.3,2,XL
362,32.5,65.5,107.0,52.5,39.5,2,XL
363,33.5,68.0,108.0,55.0,40.8,2,XL
364,30.0,53.0,99.5,33.5,33.0,0,L
365,31.0,55.0,101.0,36.0,34.0,0,L
366,32.0,57.0,102.5,38.5,35.0,0,L
367,33.0,59.0,104.0,41.0,36.0,0,L
368,34.0,61.0,105.5,43.5,37.0,2,XL
369,35.0,63.0,107.0,46.0,38.0,2,XL
370,23.5,43.0,97.0,35.0,27.3,1,XS
371,24.0,44.25,98.0,36.3,27.8,3,M
372,24.5,45.5,98.0,37.5,28.5,3,M
373,25.0,46.75,99.0,38.7,29.1,3,M
374,25.5,48.0,99.0,40.0,29.7,0,L
375,26.0,49.25,100.0,41.2,30.4,0,L
376,26.5,50.5,100.0,42.5,31.0,0,L
377,27.0,51.75,101.0,43.8,31.6,2,XL
378,27.5,53.0,101.0,45.0,32.2,2,XL
379,28.5,55.5,102.0,47.5,33.5,2,XL
380,29.5,58.0,102.0,50.0,34.8,2,XL
381,23.5,43.0,97.0,35.0,27.3,1,XS
382,24.0,44.25,98.0,36.3,27.8,3,M
383,24.5,45.5,98.0,37.5,28.5,3,M
384,25.0,46.75,99.0,38.7,29.1,3,M
385,25.5,48.0,99.0,40.0,29.7,0,L
386,26.0,49.25,100.0,41.2,30.4,0,L
387,26.5,50.5,100.0,42.5,31.0,0,L
388,27.0,51.75,101.0,43.8,31.6,2,XL
389,27.5,53.0,101.0,45.0,32.2,2,XL
390,28.5,55.5,102.0,47.5,33.5,2,XL
391,29.5,58.0,102.0,50.0,34.8,2,XL
392,23.5,43.0,97.0,35.0,27.3,1,XS
393,24.0,44.25,98.0,36.3,27.8,3,M
394,24.5,45.5,98.0,37.5,28.5,3,M
395,25.0,46.75,99.0,38.7,29.1,3,M
396,25.5,48.0,99.0,40.0,29.7,0,L
397,26.0,49.25,100.0,41.2,30.4,0,L
398,26.5,50.5,100.0,42.5,31.0,0,L
399,27.0,51.75,101.0,43.8,31.6,2,XL
400,27.5,53.0,101.0,45.0,32.2,2,XL
401,28.5,55.5,102.0,47.5,33.5,2,XL
402,29.5,58.0,102.0,50.0,34.8,2,XL
403,33.0,54.0,96.0,37.0,35.0,0,L
404,33.5,56.0,98.0,39.0,36.0,0,L
405,34.0,58.0,100.0,41.0,37.0,0,L
406,34.5,60.0,102.0,43.0,38.0,2,XL
407,25.0,43.0,91.0,33.5,27.75,1,XS
408,25.5,44.25,91.0,34.75,28.375,1,XS
409,26.0,45.5,92.0,36.0,29.0,3,M
