,values,size_category,measurement,brand_name,product_name
0,103,26,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
1,35,26,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
2,48,26,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
3,30.8,26,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
4,27,26,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
5,22.5,26,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
6,103,27,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
7,36.3,27,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
8,49.25,27,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
9,31.4,27,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
10,27,27,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
11,22.8,27,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
12,104,28,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
13,37.5,28,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
14,50.5,28,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
15,32,28,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
16,27.5,28,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
17,23,28,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
18,104,29,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
19,38.8,29,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
20,51.75,29,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
21,32.6,29,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
22,27.5,29,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
23,23.3,29,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
24,105,30,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
25,40,30,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
26,53,30,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
27,33.3,30,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
28,28,30,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
29,23.5,30,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
30,105,31,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
31,41.3,31,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
32,54.25,31,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
33,33.9,31,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
34,28,31,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
35,23.8,31,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
36,105,32,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
37,42.5,32,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
38,55.5,32,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
39,34.5,32,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
40,28.5,32,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
41,24,32,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
42,105,33,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
43,43.8,33,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
44,56.75,33,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
45,35.1,33,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
46,29,33,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
47,24.3,33,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
48,106,34,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
49,45,34,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
50,58,34,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
51,35.8,34,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
52,29.5,34,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
53,24.5,34,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
54,106,36,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
55,47.5,36,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
56,60.5,36,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
57,37,36,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
58,30.5,36,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
59,25,36,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
60,107,38,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
61,50,38,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
62,63,38,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
63,38.3,38,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
64,31.5,38,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
65,25.5,38,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
66,107,40,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
67,52.5,40,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
68,65.5,40,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
69,39.5,40,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
70,32.5,40,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
71,26,40,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
72,108,42,총장,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
73,55,42,허리단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
74,68,42,엉덩이단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
75,40.8,42,허벅지단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
76,33.5,42,밑위,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
77,26.5,42,밑단단면,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙]
0,99.5,XXS,총장,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
1,33.5,XXS,허리단면,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
2,53,XXS,엉덩이단면,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
3,33,XXS,허벅지단면,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
4,30,XXS,밑위,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
5,24,XXS,밑단단면,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
6,101,XS,총장,GLW,[기모선택] 이지 와이드 데님 팬츠 블랙
