,sex,age,height,hem,hip,outer_leg,waist,thigh
3,여,42,168.5,77.0,99.8,107.0,88.5,59.1
4,여,42,160.2,68.5,92.2,98.5,71.8,50.0
5,여,40,164.2,69.5,89.4,104.2,71.1,53.0
6,여,43,158.9,63.9,92.8,98.2,73.7,56.9
7,여,40,153.1,64.2,90.9,93.5,81.6,59.2
8,여,40,153.8,63.8,91.3,94.0,77.0,52.0
9,여,40,163.2,63.4,85.0,99.1,70.8,48.2
10,여,40,165.1,62.6,92.3,101.9,79.9,53.3
11,여,43,174.5,63.5,91.8,110.4,68.4,50.5
12,여,41,153.2,64.9,92.0,93.0,80.8,54.0
13,여,44,158.4,66.5,100.0,97.0,86.3,57.5
14,여,42,158.1,60.5,83.2,96.1,65.4,47.8
23,여,42,156.5,64.2,95.4,97.2,84.2,56.2
24,여,40,167.2,76.9,103.6,103.2,89.2,62.2
25,여,40,157.8,69.9,88.3,98.0,69.8,53.8
26,여,32,156.1,61.3,86.9,97.2,68.0,52.6
27,여,32,163.1,64.8,87.4,103.4,64.1,51.5
28,여,42,161.2,68.8,95.4,100.0,79.1,57.8
29,여,30,161.7,75.5,103.9,107.6,84.8,66.5
30,여,31,166.9,77.6,107.2,104.8,88.6,69.5
31,여,30,162.8,68.5,92.5,101.4,77.2,57.2
32,여,31,159.6,67.1,96.8,100.4,74.9,59.7
33,여,30,163.9,65.7,92.8,102.4,67.1,54.1
34,여,43,169.0,73.1,99.8,103.4,83.6,58.1
35,여,31,153.0,60.3,86.5,93.5,63.2,51.6
36,여,30,170.9,67.8,92.0,106.8,76.7,53.4
37,여,31,159.1,67.8,99.3,99.2,74.5,59.5
38,여,32,168.5,75.6,102.1,105.7,81.8,61.9
39,여,36,161.7,71.4,98.3,100.6,81.4,56.8
40,여,26,169.9,66.8,89.3,108.0,63.2,54.1
41,여,32,157.6,65.8,87.9,96.3,67.7,48.8
42,여,31,167.7,79.1,102.1,106.7,87.4,63.0
43,여,39,158.6,64.6,92.0,96.8,81.2,54.7
44,여,28,162.2,67.5,95.5,100.4,71.1,59.1
45,여,34,156.5,62.5,82.7,95.6,64.9,46.5
46,여,36,159.1,66.4,90.3,99.3,74.2,51.7
47,여,33,164.8,67.2,89.2,102.1,64.0,53.7
48,여,38,165.7,71.7,93.0,104.8,71.6,54.5
49,여,28,166.0,66.4,95.0,103.4,68.0,59.5
50,여,38,160.6,67.7,91.8,100.0,69.2,53.4
51,여,27,154.0,64.0,91.5,96.2,70.3,54.9
52,여,31,155.5,68.3,89.0,97.5,67.2,52.1
53,여,31,169.3,72.4,100.8,105.7,74.9,58.6
54,여,25,163.8,71.3,101.3,102.4,80.8,60.0
55,여,38,160.8,64.8,94.0,98.7,65.8,55.6
56,여,25,162.5,66.0,92.0,101.4,67.0,52.7
57,여,27,153.5,62.0,88.5,93.7,62.0,53.6
58,여,29,161.0,63.7,90.8,102.9,68.9,53.8
59,여,28,160.5,65.3,88.3,103.2,64.0,54.1
60,여,30,154.6,61.0,91.5,98.0,67.8,53.3
61,여,36,156.4,63.5,86.0,96.7,66.0,49.8
62,여,26,158.5,62.8,85.5,99.8,70.1,50.5
63,여,33,160.0,70.0,101.3,100.2,76.1,63.0
64,여,37,154.0,69.4,99.8,95.6,88.3,62.5
65,여,38,177.0,75.8,99.7,111.9,73.8,59.2
66,여,42,162.7,67.3,86.5,102.8,73.5,47.2
67,여,40,159.2,66.3,88.8,100.7,66.8,51.2
68,여,32,165.9,72.3,96.5,104.1,74.6,54.4
69,여,33,153.6,64.0,87.9,93.6,68.4,50.2
97,여,32,162.1,70.0,91.7,102.5,73.2,55.5
98,여,37,161.1,64.8,88.4,100.8,71.5,49.8
99,여,28,160.0,65.0,95.0,99.2,73.6,58.7
100,여,30,159.9,62.6,87.5,99.1,62.9,48.7
101,여,34,163.7,59.4,82.6,100.7,63.2,47.7
102,여,30,158.6,69.4,95.2,100.6,72.9,57.3
103,여,43,152.1,61.9,86.5,91.8,70.1,50.7
104,여,44,160.3,69.9,96.8,98.0,80.5,60.6
105,여,34,170.2,75.0,102.0,108.5,82.4,60.4
106,여,33,171.1,70.5,98.5,110.0,79.3,58.2
107,여,39,164.0,71.3,105.5,105.4,87.3,61.5
108,여,25,166.6,65.0,89.0,103.8,66.1,51.8
109,여,35,163.7,75.3,106.2,104.6,84.6,64.0
110,여,44,154.2,79.5,108.8,96.4,104.8,69.7
111,여,33,161.2,71.1,93.0,100.5,85.6,52.5
112,여,40,155.8,70.2,97.6,95.8,91.0,58.0
113,여,30,162.2,67.8,95.7,101.2,75.3,57.5
114,여,30,160.7,63.6,87.6,98.0,66.6,52.2
115,여,37,167.9,78.3,102.5,106.5,82.3,62.3
116,여,28,155.1,64.8,88.1,96.2,63.9,51.7
117,여,37,166.8,68.5,94.0,103.4,73.8,56.4
118,여,39,167.4,65.8,90.8,105.9,65.3,54.8
119,여,31,167.2,69.1,95.3,103.4,67.5,52.8
120,여,41,163.8,71.0,96.3,102.4,80.9,58.5
121,여,33,158.1,67.3,93.2,98.4,71.9,55.0
122,여,44,162.8,71.8,98.0,101.6,81.9,62.1
123,여,32,163.6,66.8,92.4,104.7,69.0,56.4
124,여,30,153.1,70.9,96.1,92.5,80.0,60.2
125,여,35,170.0,78.5,106.0,107.5,90.5,65.2
126,여,27,162.9,66.1,89.5,100.4,62.6,51.7
127,여,39,156.7,64.6,89.9,98.9,71.1,52.7
128,여,39,169.7,69.9,90.5,104.8,73.6,53.0
129,여,35,158.2,67.9,94.0,100.2,71.5,57.5
130,여,30,148.5,58.6,79.2,92.9,61.0,47.8
131,여,29,164.4,66.7,92.0,105.9,67.8,55.0
132,여,41,170.4,80.4,112.8,111.2,98.8,64.8
133,여,26,170.1,76.4,100.3,108.7,84.3,62.0
134,여,31,163.4,64.8,89.0,103.9,73.7,52.3
135,여,32,161.5,68.0,94.0,98.0,71.7,57.1
136,여,25,160.2,72.0,100.0,98.2,75.4,62.8
137,여,31,164.8,72.5,99.7,104.6,75.6,60.2
138,여,34,161.2,68.1,95.3,100.8,72.8,58.9
139,여,29,168.3,70.9,97.2,104.7,77.9,57.9
140,여,42,168.5,66.1,91.2,108.5,74.2,51.2
141,여,36,167.7,76.3,96.3,107.6,80.3,57.7
142,여,35,159.0,67.6,90.1,97.8,66.8,56.8
143,여,27,163.3,72.9,97.2,100.9,75.6,61.3
144,여,40,169.8,71.0,89.5,105.3,65.8,52.1
145,여,31,158.2,64.3,88.2,100.5,66.9,52.6
146,여,35,157.0,67.0,91.2,98.4,67.8,51.2
147,여,35,166.6,69.0,98.4,102.7,82.7,59.2
148,여,33,160.4,64.4,89.0,101.3,74.9,55.2
149,여,35,165.1,75.5,102.2,104.0,85.6,59.8
150,여,32,163.5,66.9,89.2,103.4,64.0,51.9
151,여,34,163.1,71.9,98.0,102.5,78.0,59.9
152,여,38,158.2,62.0,89.5,98.5,68.4,52.0
153,여,37,164.5,72.2,100.4,101.7,85.6,59.4
154,여,38,170.6,68.1,91.5,103.6,69.3,53.5
155,여,43,164.5,73.5,109.0,102.5,81.7,69.1
156,여,27,158.1,65.8,88.2,98.4,64.5,51.7
157,여,34,157.5,67.3,95.8,97.6,73.0,59.5
158,여,29,169.6,80.6,112.0,106.9,91.7,70.5
159,여,37,156.9,61.8,85.8,98.4,65.6,50.7
160,여,37,153.9,62.0,90.2,97.8,68.1,55.0
161,여,35,172.7,78.8,117.2,108.4,93.2,74.9
162,여,38,157.2,65.5,88.2,95.4,71.5,54.0
163,여,34,165.2,65.0,89.1,104.0,67.3,51.9
164,여,34,161.6,66.8,91.7,101.2,74.4,54.7
165,여,30,161.8,69.0,94.5,100.5,72.2,59.7
166,여,40,155.3,66.1,88.2,96.8,67.4,52.7
167,여,36,160.0,63.4,89.8,100.0,69.7,52.0
225,여,29,154.7,64.6,94.5,96.0,79.4,57.4
226,여,35,163.8,72.8,98.7,103.4,75.5,61.9
227,여,31,160.6,68.1,99.4,99.5,69.3,59.5
228,여,38,157.7,67.8,88.5,97.3,65.2,51.5
229,여,43,155.4,71.0,94.8,96.8,77.0,57.8
230,여,31,170.3,72.0,99.5,106.9,76.2,58.1
231,여,42,166.2,64.7,88.2,105.8,74.0,48.1
232,여,36,160.9,66.8,86.1,100.5,70.5,52.1
233,여,35,154.9,68.1,95.3,96.2,79.9,57.9
234,여,30,159.0,66.0,93.0,98.8,71.3,56.6
235,여,36,158.3,69.5,90.5,96.3,66.1,53.7
236,여,33,161.8,68.0,104.7,104.3,81.0,66.2
237,여,28,152.4,66.1,99.2,93.0,81.7,60.3
238,여,34,164.1,66.4,93.0,101.3,75.6,53.6
239,여,37,166.5,72.5,98.7,105.4,75.2,59.5
240,여,38,161.4,66.7,92.0,100.5,71.0,53.7
241,여,34,158.5,72.2,95.4,96.6,72.8,58.2
242,여,35,162.7,65.2,95.2,102.5,72.6,56.0
243,여,36,165.6,62.6,85.3,102.3,66.4,50.6
244,여,40,156.7,72.4,100.6,96.1,85.5,63.5
245,여,31,164.5,73.3,103.3,103.2,80.0,61.4
246,여,37,164.1,69.8,99.2,103.0,76.5,56.3
247,여,27,157.5,66.1,91.3,96.3,63.8,53.5
248,여,26,167.2,65.8,97.9,106.2,77.8,56.9
249,여,30,158.5,69.3,106.9,97.2,93.8,66.3
250,여,30,158.1,65.9,98.4,98.4,68.3,57.5
251,여,32,152.2,64.8,92.2,93.7,73.6,56.8
252,여,32,164.9,65.6,88.7,103.0,71.7,52.1
253,여,32,153.0,62.5,90.2,93.3,69.4,54.2
254,여,39,155.4,68.3,95.2,95.5,71.5,58.8
255,여,41,165.4,67.0,89.4,103.7,65.1,52.0
256,여,32,169.7,71.3,96.0,107.3,69.3,58.2
257,여,34,169.0,67.9,93.9,105.7,73.8,54.5
258,여,39,151.4,68.1,98.5,94.2,81.7,60.6
259,여,39,152.5,67.5,89.8,95.1,69.6,53.6
260,여,34,159.7,63.9,98.5,100.5,79.6,59.4
261,여,30,159.5,68.9,92.0,100.1,72.1,54.5
262,여,35,161.2,66.3,92.0,102.0,73.1,56.2
263,여,37,164.9,67.7,95.6,103.1,71.5,54.9
264,여,25,154.8,64.3,91.0,97.2,73.0,54.9
265,여,27,164.6,71.4,103.4,102.4,80.8,62.7
266,여,36,172.1,70.0,96.0,107.8,68.4,57.1
267,여,33,161.9,71.9,101.8,101.6,93.1,61.0
268,여,39,159.3,65.8,87.4,98.7,67.2,51.4
269,여,38,160.0,73.9,107.8,100.1,79.8,64.7
270,여,33,161.2,67.3,91.1,96.6,72.5,54.1
271,여,32,166.0,72.9,102.5,105.0,84.2,60.2
272,여,35,160.3,69.1,95.4,100.5,72.6,58.4
273,여,29,164.9,69.9,97.0,105.9,82.3,60.0
274,여,28,163.5,82.8,112.5,102.9,100.8,69.9
275,여,34,160.7,63.6,85.2,100.2,63.8,51.9
276,여,40,158.6,67.2,92.1,97.5,77.1,57.9
277,여,36,153.8,60.8,85.3,94.2,68.1,51.5
278,여,29,158.9,65.6,91.5,98.1,74.4,56.3
279,여,31,153.7,66.1,94.0,95.6,75.7,56.7
280,여,34,167.4,63.0,87.9,103.0,61.1,51.2
281,여,36,163.0,69.8,92.7,102.6,66.2,54.6
282,여,37,157.2,67.9,91.6,97.6,70.4,54.9
283,여,38,160.5,69.0,103.0,99.5,82.6,61.2
284,여,32,152.2,61.4,86.7,93.5,65.3,51.7
285,여,32,156.2,79.6,107.8,96.6,89.7,64.1
286,여,39,158.3,72.3,99.5,99.2,83.2,58.1
287,여,37,172.6,65.8,97.4,109.3,67.6,56.9
288,여,35,172.5,73.9,97.1,109.3,81.9,58.9
289,여,34,160.8,67.5,97.8,97.2,73.3,59.1
290,여,32,164.9,66.5,91.9,101.0,64.9,52.0
291,여,29,156.0,63.9,93.2,95.2,68.2,52.8
292,여,37,158.0,75.3,115.2,100.0,92.4,70.0
293,여,32,159.5,66.2,92.3,100.3,79.7,53.4
294,여,31,150.2,63.8,89.4,92.6,66.8,53.6
295,여,40,162.7,67.4,93.8,99.0,70.1,54.1
296,여,35,159.4,62.3,85.7,96.5,64.7,48.0
297,여,36,169.9,66.1,94.7,105.5,78.4,55.3
298,여,41,167.8,68.8,97.7,105.7,76.5,57.4
299,여,37,160.1,68.6,100.0,100.1,87.7,58.5
300,여,27,156.8,71.2,109.4,95.0,84.1,67.6
301,여,41,161.2,77.5,114.1,98.5,88.3,72.4
302,여,30,159.1,63.6,91.3,100.0,69.9,54.3
303,여,32,157.8,57.5,85.8,98.3,66.3,46.9
304,여,28,164.4,67.1,94.9,101.8,75.5,56.1
305,여,28,161.9,66.3,92.6,98.3,74.5,54.0
306,여,30,163.1,65.6,86.0,100.8,63.8,51.5
307,여,30,157.2,66.1,96.7,97.2,78.2,55.9
308,여,29,162.4,65.9,90.8,101.6,67.5,54.4
309,여,38,156.0,66.3,99.6,97.5,83.8,62.8
310,여,28,159.4,66.2,93.5,98.8,70.2,55.9
311,여,25,160.2,62.8,91.2,97.8,69.7,51.2
312,여,37,158.9,65.5,86.0,97.0,72.8,51.1
313,여,42,159.0,66.5,92.2,101.0,76.3,54.7
314,여,33,161.1,69.0,98.0,99.6,87.2,60.2
315,여,43,157.7,72.5,100.9,95.6,82.5,60.7
316,여,40,156.0,68.4,97.2,96.3,86.3,61.3
317,여,35,167.0,68.9,103.5,103.4,81.6,61.5
318,여,34,165.5,64.6,90.4,102.8,72.7,51.8
379,여,30,162.2,64.8,88.4,99.3,70.4,53.8
380,여,37,156.7,63.8,92.0,96.6,67.7,52.5
381,여,40,164.7,62.8,85.9,102.2,71.5,51.1
382,여,29,163.2,67.0,89.8,103.7,68.3,56.6
383,여,34,164.7,63.5,88.4,103.6,71.4,51.2
