점포코드,age_sales,cust_strscount,vip_strscount,sml_salespct,lge_salespct,sml_custport,lge_custport,revisitport,car_regi,f_cnt_grade,f_amt_grade,m_cnt_grade,m_amt_grade,WORK,WK_COUNT,work_e_count,work_l_count,ESSENTIAL,LUXURY,인구증감,제휴사,upperclass,lowclass,purtime,midclass,AVG_PUR,STORE_CNT,SUM,RATE,AGE_REGION_RATE,Y
A1,4.689223385345265,-0.0402562650894053,0.0922238027501185,0.0033605691696851,0.0561536255483632,0.007398923170665,0.0001027118905126,-0.0030069323676114,63801,0,0,-1,0,0.0,-1.0,0.0,-11.0,0.0,0.0,5,1,0.0,0.0,-1,0.0,0,0,0,12,1,1
A12,5.116778551896182,0.026293672248344,-0.1861111111111109,0.0522429034529955,-0.0209772087978258,0.0046844429904002,-0.0001275460535623,0.0206475087440585,195473,0,0,0,0,1.0,-1.0,2.0,-10.0,1.0,1.0,3,1,0.0,0.0,3,46.0,0,0,0,14,1,0
A2,5.380300051282653,-0.0137705590899761,0.0887542087542083,0.0313736715086689,-0.0136184025426202,0.0035142891584539,-2.785347619171612e-05,0.0151705956244347,177518,0,0,0,0,1.0,-2.0,1.0,-10.0,1.0,-1.0,5,1,0.0,1003.0,1,0.0,1,0,0,13,1,0
A20,5.032316243857231,-0.051214441614479,0.0507650217853887,0.0452830969916047,-0.0006134791969316,0.0081947978790084,5.115090158696834e-05,0.0279509655951402,124704,0,0,0,0,1.0,-1.0,1.0,-10.0,1.0,1.0,5,1,0.0,0.0,0,13.0,0,0,0,13,1,0
A24,5.124619547851026,0.0181054663068929,-0.1083158630328444,0.0587533092338,0.0431437275292891,0.0150825228008171,0.0003431436805648,-0.0308357606190025,57200,0,0,-1,0,0.0,-1.0,0.0,-10.0,1.0,1.0,5,1,0.0,0.0,1,0.0,1,0,0,14,1,0
A26,5.654530466924292,0.0056112159636669,0.3611940298507461,0.0078527623054818,-0.0245779854442345,0.0085044953832338,-0.0005276570673969,0.0031463467033817,75070,0,0,-1,0,1.0,0.0,1.0,-9.0,0.0,0.0,5,1,0.0,464.0,0,-13.0,0,-1,-1,12,1,1
A3,5.51285061842313,-0.1520912547528516,-0.4683544303797466,0.060101550045355,-0.0224999010384886,0.013225586966045,-4.933714857379998e-05,0.0152091254752851,72947,-1,0,0,0,1.0,0.0,1.0,-8.0,1.0,0.0,4,1,0.0,0.0,3,0.0,1,0,0,14,1,0
A39,4.162287318749485,-0.0957245724572457,0.5463414634146346,0.0931014576289827,0.028753749572986,0.09368451931942,0.0032792724834464,0.0413591359135913,63240,-1,0,0,1,-1.0,0.0,0.0,-9.0,1.0,1.0,4,1,0.0,0.0,0,0.0,1,-1,0,14,3,1
A5,5.057205940342783,-0.0061660961813898,-0.3357142857142854,0.0715781090750786,-0.0966720956833287,0.0087583474812004,-0.0005765487975301,-0.0397640375792004,95908,-1,0,-1,0,-3.0,0.0,1.0,-10.0,1.0,0.0,4,1,0.0,-449.0,0,0.0,1,-1,0,14,1,0
A9,5.228447308674248,-0.0641095835863541,0.1816849816849819,0.0546200967539391,-0.0253284100241395,0.0193114658515685,-0.0005188594515167,0.0225677680109105,106596,0,0,0,0,2.0,0.0,1.0,-9.0,2.0,-1.0,3,1,0.0,-207.0,-1,0.0,1,-1,0,14,2,0
